OCCURRED ON,UCR CRIME CATEGORY,PREMISE TYPE
01/04/2024 0:00,BURGLARY,APARTMENT
01/04/2024 0:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 0:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/04/2024 0:00,LARCENY-THEFT,PARKING LOT
01/04/2024 0:00,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 0:00,LARCENY-THEFT,VEHICLE
01/04/2024 0:00,LARCENY-THEFT,UNKNOWN
01/04/2024 0:00,LARCENY-THEFT,UNKNOWN
01/04/2024 0:00,DRUG OFFENSE,SHELTER-MISSION/HOMELESS
01/04/2024 0:01,LARCENY-THEFT,HOSPITAL
01/04/2024 1:00,LARCENY-THEFT,CONDO / TOWNHOUSE
01/04/2024 1:00,RAPE,CONDO / TOWNHOUSE
01/04/2024 1:15,ROBBERY,APARTMENT
01/04/2024 1:24,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/04/2024 1:30,LARCENY-THEFT,APARTMENT
01/04/2024 1:30,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/04/2024 1:52,DRUG OFFENSE,PARKING LOT
01/04/2024 2:10,LARCENY-THEFT,VEHICLE
01/04/2024 2:15,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 2:20,BURGLARY,OFFICE / COMMERCIAL BUILDING
01/04/2024 2:45,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/04/2024 2:52,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/04/2024 2:56,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/04/2024 3:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/04/2024 3:00,LARCENY-THEFT,APARTMENT
01/04/2024 3:25,ARSON,APARTMENT
01/04/2024 3:25,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/04/2024 4:00,LARCENY-THEFT,PARKING LOT
01/04/2024 4:16,DRUG OFFENSE,PARKING LOT
01/04/2024 20:00,BURGLARY,SPECIALTY STORE
01/04/2024 20:00,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/04/2024 20:00,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/04/2024 20:00,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/04/2024 20:21,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/04/2024 20:41,BURGLARY,DEPARTMENT / DISCOUNT STORE
01/04/2024 21:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/04/2024 21:00,LARCENY-THEFT,PARKING LOT
01/04/2024 21:00,LARCENY-THEFT,PARKING GARAGE
01/04/2024 21:00,LARCENY-THEFT,SPECIALTY STORE
01/04/2024 21:13,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/04/2024 21:52,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/04/2024 22:00,LARCENY-THEFT,DRIVEWAY
01/04/2024 22:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/04/2024 22:00,BURGLARY,CONSTRUCTION SITE
01/04/2024 22:29,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/04/2024 22:30,LARCENY-THEFT,VEHICLE
01/04/2024 22:30,BURGLARY,FAST FOOD STORE
01/04/2024 22:50,AGGRAVATED ASSAULT,CONVENIENCE MARKET / STORE
01/04/2024 23:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/04/2024 23:00,LARCENY-THEFT,PARKING LOT
01/04/2024 23:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/04/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT
01/04/2024 23:00,LARCENY-THEFT,VEHICLE
01/04/2024 23:00,AGGRAVATED ASSAULT,APARTMENT
01/04/2024 23:00,LARCENY-THEFT,PARKING LOT
01/04/2024 23:30,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/04/2024 23:50,LARCENY-THEFT,PARKING LOT
01/04/2024 23:52,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/05/2024 0:00,LARCENY-THEFT,SPECIALTY STORE
01/05/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 0:00,LARCENY-THEFT,AIRPORT
01/05/2024 0:00,LARCENY-THEFT,AIRPORT
01/05/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 0:00,LARCENY-THEFT,UNKNOWN
01/05/2024 0:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/05/2024 0:00,DRUG OFFENSE,OFFICE / COMMERCIAL BUILDING
01/05/2024 0:00,DRUG OFFENSE,VEHICLE
01/05/2024 0:00,BURGLARY,CONSTRUCTION SITE
01/05/2024 0:00,RAPE,SINGLE FAMILY HOUSE
01/05/2024 0:00,LARCENY-THEFT,PARKING LOT
01/05/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION
01/05/2024 0:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/05/2024 0:00,BURGLARY,CONSTRUCTION SITE
01/05/2024 0:00,DRUG OFFENSE,PARKING LOT
01/05/2024 0:00,LARCENY-THEFT,DRIVEWAY
01/05/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 0:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/05/2024 0:01,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/05/2024 0:01,LARCENY-THEFT,APARTMENT
01/05/2024 0:01,AGGRAVATED ASSAULT,APARTMENT
01/05/2024 0:30,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/05/2024 1:00,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 1:01,LARCENY-THEFT,DRIVEWAY
01/05/2024 1:30,LARCENY-THEFT,PARKING LOT
01/05/2024 1:34,DRUG OFFENSE,BUS STOP
01/05/2024 2:00,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 2:00,LARCENY-THEFT,APARTMENT
01/05/2024 3:00,BURGLARY,DEPARTMENT / DISCOUNT STORE
01/05/2024 3:00,LARCENY-THEFT,SPECIALTY STORE
01/05/2024 3:00,LARCENY-THEFT,APARTMENT
01/05/2024 3:36,BURGLARY,OFFICE / COMMERCIAL BUILDING
01/05/2024 3:59,MOTOR VEHICLE THEFT,UNKNOWN
01/05/2024 4:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/05/2024 4:30,BURGLARY,APARTMENT
01/05/2024 4:56,MOTOR VEHICLE THEFT,HOTEL / MOTEL
01/05/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/05/2024 20:00,BURGLARY,SINGLE FAMILY HOUSE
01/05/2024 20:00,LARCENY-THEFT,OTHER
01/05/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/05/2024 20:24,AGGRAVATED ASSAULT,APARTMENT
01/05/2024 21:00,MOTOR VEHICLE THEFT,GROCERY / SUPER MARKET
01/05/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 21:00,LARCENY-THEFT,PARKING LOT
01/05/2024 21:00,LARCENY-THEFT,PARKING LOT
01/05/2024 21:00,LARCENY-THEFT,VEHICLE
01/05/2024 21:01,AGGRAVATED ASSAULT,APARTMENT
01/05/2024 21:08,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/05/2024 21:30,MOTOR VEHICLE THEFT,APARTMENT
01/05/2024 21:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/05/2024 21:54,AGGRAVATED ASSAULT,VEHICLE
01/05/2024 22:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/05/2024 22:03,BURGLARY,SCHOOL-ELEMENTARY/SECONDARY
01/05/2024 22:12,ARSON,SINGLE FAMILY HOUSE
01/05/2024 22:42,ROBBERY,STREET / ROADWAY / SIDEWALK
01/05/2024 22:55,BURGLARY,CONVENIENCE MARKET / STORE
01/05/2024 23:00,LARCENY-THEFT,APARTMENT
01/05/2024 23:00,LARCENY-THEFT,VEHICLE
01/05/2024 23:30,LARCENY-THEFT,VEHICLE
01/05/2024 23:45,LARCENY-THEFT,VEHICLE
01/06/2024 0:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/06/2024 0:00,DRUG OFFENSE,PARKING LOT
01/06/2024 0:00,LARCENY-THEFT,VEHICLE
01/06/2024 0:00,LARCENY-THEFT,PARKING LOT
01/06/2024 0:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/06/2024 0:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/06/2024 0:00,MOTOR VEHICLE THEFT,APARTMENT
01/06/2024 0:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 0:00,BURGLARY,STOREROOM/SHED (RESIDENTIAL)
01/06/2024 0:01,BURGLARY,APARTMENT
01/06/2024 0:01,LARCENY-THEFT,APARTMENT
01/06/2024 0:30,LARCENY-THEFT,RESTAURANT
01/06/2024 0:54,AGGRAVATED ASSAULT,CONVENIENCE MARKET / STORE
01/06/2024 1:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 1:00,MOTOR VEHICLE THEFT,HOTEL / MOTEL
01/06/2024 1:00,LARCENY-THEFT,APARTMENT
01/06/2024 1:59,ROBBERY,SINGLE FAMILY HOUSE
01/06/2024 2:00,ROBBERY,PARKING GARAGE
01/06/2024 2:00,MOTOR VEHICLE THEFT,APARTMENT
01/06/2024 2:00,BURGLARY,FAST FOOD STORE
01/06/2024 2:29,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 2:37,ROBBERY,STREET / ROADWAY / SIDEWALK
01/06/2024 3:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 3:30,BURGLARY,SPECIALTY STORE
01/06/2024 4:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 4:00,RAPE,APARTMENT
01/06/2024 4:17,MOTOR VEHICLE THEFT,RENTAL STORAGE / FACILITY
01/06/2024 4:49,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/06/2024 5:00,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/06/2024 20:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 20:00,AGGRAVATED ASSAULT,RESTAURANT
01/06/2024 20:00,LARCENY-THEFT,OTHER
01/06/2024 20:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/06/2024 20:00,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 20:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/06/2024 20:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/06/2024 20:30,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 20:40,AGGRAVATED ASSAULT,APARTMENT
01/06/2024 20:55,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/06/2024 20:55,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/06/2024 21:00,LARCENY-THEFT,APARTMENT
01/06/2024 21:14,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/06/2024 21:37,AGGRAVATED ASSAULT,APARTMENT
01/06/2024 21:45,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/06/2024 22:00,LARCENY-THEFT,APARTMENT
01/06/2024 22:00,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/06/2024 22:15,LARCENY-THEFT,DRIVEWAY
01/06/2024 22:30,LARCENY-THEFT,HOTEL / MOTEL
01/06/2024 22:30,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 22:35,AGGRAVATED ASSAULT,HOTEL / MOTEL
01/06/2024 22:51,LARCENY-THEFT,APARTMENT
01/06/2024 23:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/06/2024 23:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/06/2024 23:18,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/06/2024 23:24,ROBBERY,STREET / ROADWAY / SIDEWALK
01/07/2024 0:00,ROBBERY,RESTAURANT
01/07/2024 0:00,DRUG OFFENSE,CANAL / RIGHT-OF-WAY
01/07/2024 0:00,DRUG OFFENSE,VEHICLE
01/07/2024 0:00,BURGLARY,RESTAURANT
01/07/2024 0:00,DRUG OFFENSE,VEHICLE
01/07/2024 0:00,LARCENY-THEFT,VEHICLE
01/07/2024 0:00,LARCENY-THEFT,DRIVEWAY
01/07/2024 0:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/07/2024 0:00,DRUG OFFENSE,PARK / PLAYGROUND
01/07/2024 0:00,ARSON,ABANDONED/CONDEMNED STRUCTURE
01/07/2024 0:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/07/2024 0:00,MOTOR VEHICLE THEFT,APARTMENT
