OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/02/2024 21:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/03/2023 12:00,LARCENY-THEFT,DRUG STORE
01/02/2024 21:00,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/03/2023 12:00,LARCENY-THEFT,SPECIALTY STORE
01/02/2024 21:00,LARCENY-THEFT,DRIVEWAY,01/03/2023 12:00,BURGLARY,APARTMENT
01/02/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT,01/03/2023 12:00,MOTOR VEHICLE THEFT,PARK / PLAYGROUND
01/02/2024 21:16,ROBBERY,STREET / ROADWAY / SIDEWALK,01/03/2023 12:05,AGGRAVATED ASSAULT,HOSPITAL
01/02/2024 21:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/03/2023 12:15,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2024 21:30,AGGRAVATED ASSAULT,APARTMENT,01/03/2023 12:15,LARCENY-THEFT,PARKING LOT
01/02/2024 22:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/03/2023 12:15,DRUG OFFENSE,VEHICLE
01/02/2024 22:00,LARCENY-THEFT,PARKING LOT,01/03/2023 12:20,LARCENY-THEFT,GAS / SERVICE STATION
01/02/2024 22:00,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE,01/03/2023 12:21,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 22:00,MOTOR VEHICLE THEFT,APARTMENT,01/03/2023 12:24,LARCENY-THEFT,AIRPORT
01/02/2024 22:03,ROBBERY,FAST FOOD STORE,01/03/2023 12:25,LARCENY-THEFT,GROCERY / SUPER MARKET
01/02/2024 22:30,ROBBERY,STREET / ROADWAY / SIDEWALK,01/03/2023 12:45,MOTOR VEHICLE THEFT,AUTO DEALERSHIP NEW/USED
01/02/2024 22:30,LARCENY-THEFT,APARTMENT,01/03/2023 12:48,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/02/2024 23:00,LARCENY-THEFT,APARTMENT,01/03/2023 12:53,LARCENY-THEFT,RETAIL BUSINESS
01/02/2024 23:00,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE,01/03/2023 13:20,MOTOR VEHICLE THEFT,ALLEY
01/02/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT,01/03/2023 13:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/02/2024 23:00,BURGLARY,APARTMENT,01/03/2023 13:31,LARCENY-THEFT,APARTMENT
01/02/2024 23:12,DRUG OFFENSE,APARTMENT,01/03/2023 13:36,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/02/2024 23:52,ROBBERY,APARTMENT,01/03/2023 13:37,AGGRAVATED ASSAULT,MOBILE HOME
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/03/2023 13:43,LARCENY-THEFT,GROCERY / SUPER MARKET
01/03/2024 0:00,DRUG OFFENSE,VEHICLE,01/03/2023 14:00,LARCENY-THEFT,VEHICLE
01/03/2024 0:00,BURGLARY,RENTAL STORAGE / FACILITY,01/03/2023 14:00,AGGRAVATED ASSAULT,APARTMENT
01/03/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/03/2023 14:08,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2024 0:00,MOTOR VEHICLE THEFT,AUTO DEALERSHIP NEW/USED,01/03/2023 14:21,ROBBERY,BUS STOP
